Ordering,Tiff,Score,KP,LW,SJ,check
86,20200421mouse2_OD_L_2_0_0000086_Structure_0001 RR35.TIFF,0,0,0,0,x
87,20200421mouse2_OD_L_2_0_0000116_Structure_0001 RR42.TIFF,0,0,0,0.5,x
88,20200421mouse2_OD_L_2_0_0000136_Structure_0001 RR49.TIFF,0,0,0,0,x
89,20200421mouse2_OD_L_2_0_0000156_Structure_0001 RR54.TIFF,0,0,0,0,x
90,20200421mouse20_OD_L_2_0_0000038_Structure_0001 RR14.TIFF,0,0,0,0,x
91,20200421mouse20_OD_L_2_0_0000068_Structure_0001 RR21.TIFF,0,0,0,0,x
92,20200421mouse20_OD_L_2_0_0000078_Structure_0001 RR35.TIFF,0,0,0,0,x
93,20200421mouse20_OD_L_2_0_0000104_Structure_0001 RR42.TIFF,0,0,0,0,x
94,20200421mouse20_OD_L_2_0_0000124_Structure_0001 RR49.TIFF,0,0,0,0,x
95,20200421mouse20_OD_L_2_0_0000138_Structure_0001 RR54.TIFF,0,0,0,0,x
96,20200421mouse22_OD_L_2_0_0000066_Structure_0001 RR28.TIFF,0,0,0,0,x
97,20200421mouse22_OD_L_2_0_0000092_Structure_0001 RR35.TIFF,0,0,0,0,x
98,20200421mouse22_OD_L_2_0_0000116_Structure_0001 rr42.TIFF,0,0,0,0,x
99,20200421mouse3_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
100,20200421mouse3_OD_L_2_0_0000036_Structure_0001 RR14.TIFF,0,0,0,0,x
101,20200421mouse3_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0,0,0,0,x
102,20200421mouse3_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0,0,0,0,x
103,20200421mouse3_OD_L_2_0_0000096_Structure_0001 RR35.TIFF,0,0,0,0,x
104,20200421mouse3_OD_L_2_0_0000106_Structure_0001 RR42.TIFF,0,0,0,0,x
105,20200421mouse3_OD_L_2_0_0000126_Structure_0001 RR49.TIFF,0,0,0,0,x
106,20200421mouse3_OD_L_2_0_0000146_Structure_0001 RR54.TIFF,0,0,0,0,x
107,20200421mouse4_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0,0,0,2,x
108,20200421mouse4_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0.5,0,x
109,20200421mouse4_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0,0,0,0,x
110,20200421mouse5_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
111,20200421mouse5_OD_L_2_0_0000036_Structure_0001 RR14.TIFF,0,0,0,0,x
112,20200421mouse5_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0,0,0,0,x
113,20200421mouse5_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0,0,0,0,x
114,20200421mouse6_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0,0,0,0,x
115,20200421mouse6_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0,0,0,0,x
116,20200421mouse6_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0,0,0,0,x
117,20200421mouse6_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0,0,0,0,x
118,20200421mouse9_OD_L_2_0_0000156_Structure_0001 RR54.TIFF,0,0,0,0,x
119,20200507mouse1_OD_L_2_0_0000006_Structure_0001 RR 0.TIFF,0,0,0,0,x
120,20200507mouse1_OD_L_2_0_0000026_Structure_0001 rr 24h.TIFF,NA,NA,NA,0,x
121,20200507mouse1_OD_L_2_0_0000036_Structure_0001 rr 10h.TIFF,0,0.5,0,0,x
122,20200507mouse2_OD_L_2_0_0000016_Structure_0001 RR 0.TIFF,0,0,0,0,x
123,20200507mouse2_OD_L_2_0_0000036_Structure_0001 rr 10h.TIFF,0,0,0,0,x
124,20200507mouse3_OD_L_2_0_0000006_Structure_0001 RR 0.TIFF,0,0,0,0,x
125,20200507mouse4_OD_L_2_0_0000016_Structure_0001 RR 0.TIFF,0,0,0,0,x
126,20200507mouse5_OD_L_2_0_0000006_Structure_0001 RR 0.TIFF,0,0,0,0,x
127,20200507mouse5_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0,0,0,0,x
128,20200507mouse5_OD_L_2_0_0000026_Structure_0001 rr 24h.TIFF,0,0.5,0,0,x
129,20200507mouse6_OD_L_2_0_0000016_Structure_0001 RR 0.TIFF,0,0,0,0,x
130,20200507mouse7_OD_L_2_0_0000006_Structure_0001 RR 0.TIFF,0,0,0,0,x
131,20200507mouse7_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0,0,0,0,x
132,20200507mouse8_OD_L_2_0_0000016_Structure_0001 RR 0.TIFF,0,0,0,0,x
133,20200507mouse8_OD_L_2_0_0000036_Structure_0001 rr 10h.TIFF,0,0.5,0,0,x
134,20200507mouse8_OD_L_2_0_0000066_Structure_0001 rr 2.TIFF,NA,NA,NA,0,x
135,20200512mouse11_OD_L_2_0_0000026_Structure_0001 rr 0.TIFF,0,0,0,0,x
136,20200512mouse11_OD_L_2_0_0000056_Structure_0001 rr 10h.TIFF,0,0.5,0,0,x
137,20200512mouse13_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
138,20200512mouse13_OD_L_2_0_0000046_Structure_0001 rr 10h.TIFF,0,0,0,0.5,x
139,20200512mouse13_OD_L_2_0_0000086_Structure_0001 rr 2.TIFF,0,1,0,0,x
140,20200512mouse14_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
141,20200512mouse14_OD_L_2_0_0000056_Structure_0001 rr 10h.TIFF,0,0,0,0,x
142,20200512mouse15_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
143,20200512mouse16_OD_L_2_0_0000030_Structure_0001 rr 0.TIFF,0,0,0,0,x
144,20200512mouse16_OD_L_2_0_0000090_Structure_0001 rr 10h.TIFF,0,0,0,0,x
145,20200512mouse17_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
146,20200512mouse17_OD_L_2_0_0000046_Structure_0001 rr 10h.TIFF,0,0.5,0,0,x
147,20200512mouse18_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
148,20200512mouse18_OD_L_2_0_0000056_Structure_0001 rr 10h.TIFF,0,0,0,0,x
149,20200512mouse3_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0,0,0,0,x
150,20200521mouse1_OD_L_2_0_0000026_Structure_0001 RR0.TIFF,0,0,0,0,x
151,20200521mouse1_OS_L_2_0_0000036_Structure_0001 LR0.TIFF,0,0,0,0,x
152,20200521mouse2_OD_L_2_0_0000019_Structure_0001 RR0.TIFF,0,0.5,0,0,x
275,20200624mouse8_OD_L_2_0_0000036_Structure_0001 rr7.TIFF,0.5,0.5,0,0,x
154,20200521mouse3_OD_L_2_0_0000026_Structure_0001 RR0.TIFF,0,0.5,0,0,x
155,20200521mouse3_OS_L_2_0_0000036_Structure_0001 LR0.TIFF,0,0,0.5,0,x
156,20200527mouse4_OD_L_2_0_0000032_Structure_0001 RR7.TIFF,0,0,0,0,x
157,20200527mouse5_OD_L_2_0_0000022_Structure_0001 RR7.TIFF,0,0,0,0,x
158,20200604mouse1_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
159,20200604mouse10_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
160,20200604mouse2_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
161,20200604mouse2_OD_L_2_0_0000040_Structure_0001 rr 10hr.TIFF,0,0,0,1,x
162,20200604mouse3_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
163,20200604mouse4_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
164,20200604mouse4_OD_L_2_0_0000036_Structure_0001 rr 10hr.TIFF,0,0,0,0,x
165,20200604mouse5_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
166,20200604mouse6_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
167,20200604mouse7_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0.5,x
168,20200604mouse7_OD_L_2_0_0000026_Structure_0001 rr 10hr.TIFF,0,0,0,0,x
169,20200604mouse8_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0,0,0,0,x
170,20200604mouse8_OD_L_2_0_0000036_Structure_0001 rr 10hr.TIFF,0,0,0,0,x
171,20200604mouse8_OD_L_2_0_0000056_Structure_0001 rr 1.TIFF,0,0.5,0,0,x
172,20200604mouse9_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0,0,0,0,x
173,20200604mouse9_OD_L_2_0_0000026_Structure_0001 rr 10hr.TIFF,0,0,0,0,x
279,20200624mouse8_OD_L_2_0_0000106_Structure_0001 rr35.TIFF,0.5,0.5,0.5,0,0
175,20200624mouse5_OD_L_2_0_0000066_Structure_0001 RR14.TIFF,0,0,0,0,x
176,20200624mouse5_OD_L_2_0_0000086_Structure_0001 RR21.TIFF,0,0.5,0,0,x
177,20200624mouse5_OD_L_2_0_0000126_Structure_0001 rr35.TIFF,0,0,0.5,0,x
178,20200624mouse5_OD_L_2_0_0000156_Structure_0001 RR42.TIFF,0,0,0,0,x
179,20200624mouse5_OD_L_2_0_0000176_Structure_0001 RR49.TIFF,0,0,0,0,x
180,20200624mouse6_OD_L_2_0_0000036_Structure_0001 rr7.TIFF,0,0,0,0,x
181,20200624mouse6_OD_L_2_0_0000052_Structure_0001 RR14.TIFF,0,0,0,0,x
182,20200624mouse6_OD_L_2_0_0000076_Structure_0001 RR21.TIFF,0,0,0,0,x
183,20200624mouse7_OD_L_2_0_0000026_Structure_0001 rr7.TIFF,0,0,0,0,x
184,20200624mouse7_OD_L_2_0_0000046_Structure_0001 RR14.TIFF,0,0,0,0,x
185,20200624mouse7_OD_L_2_0_0000066_Structure_0001 RR21.TIFF,0,0,0,0,x
186,20200624mouse7_OD_L_2_0_0000086_Structure_0001 RR28.TIFF,0,0,0,0,x
187,20200624mouse7_OD_L_2_0_0000116_Structure_0001 rr35.TIFF,0,0,0,0,x
188,20200624mouse7_OD_L_2_0_0000126_Structure_0001 RR42.TIFF,0,0,0,0,x
189,20200624mouse7_OD_L_2_0_0000146_Structure_0001 RR49.TIFF,0,0,0,0,x
190,20200624mouse8_OD_L_2_0_0000136_Structure_0001 RR42.TIFF,0,0,0,0.5,x
191,20200624mouse8_OD_L_2_0_0000146_Structure_0001 RR49.TIFF,0,0,0,0,x
192,20200624mouse9_OD_L_2_0_0000110_Structure_0001 rr35.TIFF,0,0,0,0,x
193,20200624mouse9_OD_L_2_0_0000150_Structure_0001 RR49.TIFF,0,0,0,0,x
194,20200710mouse4_OD_L_2_0_0000036_Structure_0001 RR7.TIFF,0,0,0,0,x
195,20200710mouse9_OD_L_2_0_0000026_Structure_0001 RR7.TIFF,0,0,0,0,x
196,20200729mouse5_OD_L_2_0_0000066_Structure_0001 RR4.TIFF,0,0,0,0,x
197,20190920mouse1_OD_L_2_0_0000026_Structure_0001 RR 55.TIFF,0.5,0.5,0.5,0.5,x
198,20190920mouse3_OD_L_2_0_0000026_Structure_0001 RR 55.TIFF,0.5,0.5,1,0.5,x
199,20190925mouse3_OD_L_2_0_0000026_Structure_0001 rr35.TIFF,0.5,0.5,0.5,0.5,x
200,20190925mouse5_OD_L_2_0_0000026_Structure_0001 rr35.TIFF,0.5,0.5,0.5,0.5,x
201,20190925mouse6_OD_L_2_0_0000036_Structure_0001 rr35.TIFF,0.5,1,0.5,0.5,x
202,20200225mouse1_OD_L_2_0_0000072_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,1,x
203,20200225mouse2_OD_L_2_0_0000028_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0.5,x
204,20200225mouse2_OD_L_2_0_0000058_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0.5,x
205,20200225mouse3_OD_L_2_0_0000046_Structure_0001 rr 1.TIFF,0.5,1,0.5,0.5,x
206,20200225mouse4_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,1,x
207,20200225mouse5_OD_L_2_0_0000052_Structure_0001 rr 1.TIFF,0.5,1,0.5,0.5,x
208,20200225mouse6_OD_L_2_0_0000036_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0.5,x
209,20200225mouse6_OD_L_2_0_0000052_Structure_0001 rr 1.TIFF,0.5,1,0.5,0.5,x
210,20200225mouse6_OD_L_2_0_0000066_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0,x
211,20200225mouse8_OD_L_2_0_0000076_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0.5,x
212,20200225mouse9_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0.5,x
213,20200226mouse10_OD_L_2_0_0000016_Structure_0001 rr28.TIFF,0.5,0.5,0.5,0.5,x
214,20200226mouse13_OD_L_2_0_0000066_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0.5,x
215,20200226mouse16_OD_L_2_0_0000032_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0.5,x
216,20200226mouse18_OD_L_2_0_0000016_Structure_0001 rr 0.TIFF,0.5,0,0.5,0.5,x
217,20200226mouse19_OD_L_2_0_0000042_Structure_0001 rr 1.TIFF,0.5,0.5,NA,0.5,x
218,20200421mouse10_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0.5,0.5,0.5,0.5,x
219,20200421mouse10_OD_L_2_0_0000086_Structure_0001 RR35.TIFF,0.5,0.5,1,0.5,x
220,20200421mouse10_OD_L_2_0_0000112_Structure_0001 RR42.TIFF,0.5,0.5,1,0.5,x
221,20200421mouse10_OD_L_2_0_0000136_Structure_0001 RR49.TIFF,0.5,0.5,0.5,0.5,x
222,20200421mouse13_OD_L_2_0_0000036_Structure_0001 RR14.TIFF,0.5,0.5,0.5,0,x
223,20200421mouse13_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0.5,0.5,0.5,0.5,x
224,20200421mouse13_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0.5,0.5,0.5,0.5,x
327,20200421mouse19_OD_L_2_0_0000086_Structure_0001 RR28.TIFF,0,1,1,0.5,0
226,20200421mouse18_OD_L_2_0_0000076_Structure_0001 rr28.TIFF,0.5,0.5,2,0.5,x
227,20200421mouse21_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0.5,0.5,0.5,0,x
228,20200421mouse21_OD_L_2_0_0000076_Structure_0001 RR28.TIFF,0.5,1,0.5,0.5,x
229,20200421mouse21_OD_L_2_0_0000092_Structure_0001 RR54.TIFF,0.5,0.5,0,0.5,x
230,20200421mouse22_OD_L_2_0_0000026_Structure_0001 RR14.TIFF,0.5,0.5,0.5,0,x
231,20200421mouse22_OD_L_2_0_0000056_Structure_0001 RR21.TIFF,0.5,0.5,1,0.5,x
232,20200421mouse22_OD_L_2_0_0000136_Structure_0001 RR49.TIFF,0.5,0,0.5,0.5,x
438,20200624mouse4_OD_L_2_0_0000046_Structure_0001 rr7.TIFF,0,2,2,2,0
615,20190619mouse14_OD_L_2_0_0000076_Structure_0001 RR6.TIFF,0.5,0,0.5,0.5,0
235,20200421mouse9_OD_L_2_0_0000036_Structure_0001 RR14.TIFF,0.5,0.5,1,0.5,x
236,20200421mouse9_OD_L_2_0_0000046_Structure_0001 RR21.TIFF,0.5,0.5,1,0.5,x
237,20200421mouse9_OD_L_2_0_0000066_Structure_0001 rr28.TIFF,0.5,0.5,0.5,0,x
238,20200421mouse9_OD_L_2_0_0000106_Structure_0001 RR42.TIFF,0.5,0.5,0.5,0.5,x
239,20200421mouse9_OD_L_2_0_0000126_Structure_0001 RR49.TIFF,0.5,0.5,0.5,0.5,x
240,20200507mouse1_OD_L_2_0_0000052_Structure_0001 rr2.TIFF,NA,NA,NA,NA,x
241,20200507mouse3_OD_L_2_0_0000026_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0,x
242,20200507mouse3_OD_L_2_0_0000056_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0.5,x
243,20200507mouse5_OD_L_2_0_0000046_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0,x
244,20200507mouse6_OD_L_2_0_0000036_Structure_0001 rr 24h.TIFF,0,0.5,0,0,x
245,20200507mouse6_OD_L_2_0_0000050_Structure_0001 rr 10h.TIFF,0.5,0.5,0.5,0,x
246,20200512mouse12_OD_L_2_0_0000006_Structure_0001 rr 0.TIFF,0.5,0.5,0.5,0,x
247,20200512mouse12_OD_L_2_0_0000056_Structure_0001 rr 10h.TIFF,0.5,0.5,1,0.5,x
248,20200512mouse14_OD_L_2_0_0000096_Structure_0001 rr 2.TIFF,0.5,0.5,0.5,0,x
249,20200512mouse16_OD_L_2_0_0000110_Structure_0001 rr 24h.TIFF,0.5,0.5,0.5,0,x
250,20200512mouse16_OD_L_2_0_0000126_Structure_0001 rr 2.TIFF,0.5,1,0.5,0.5,x
251,20200512mouse7_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0.5,0.5,0.5,0.5,x
252,20200512mouse9_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0.5,0.5,1,0.5,x
253,20200527mouse12_OD_L_2_0_0000036_Structure_0001 RR7.TIFF,0.5,0.5,0.5,0.5,x
254,20200527mouse5_OD_L_2_0_0000006_Structure_0001 RR1.TIFF,0.5,0.5,0.5,0.5,x
255,20200527mouse8_OD_L_2_0_0000016_Structure_0001 RR1.TIFF,0.5,0.5,1,0.5,x
256,20200527mouse8_OD_L_2_0_0000026_Structure_0001 RR7.TIFF,0.5,0.5,0.5,0.5,x
257,20200604mouse10_OD_L_2_0_0000036_Structure_0001 rr 10hr.TIFF,0.5,0.5,0.5,1,x
258,20200604mouse4_OD_L_2_0_0000056_Structure_0001 rr 1.TIFF,0.5,0.5,0.5,0.5,x
259,20200604mouse5_OD_L_2_0_0000026_Structure_0001 rr 10hr.TIFF,0.5,0.5,0.5,0.5,x
260,20200604mouse7_OD_L_2_0_0000046_Structure_0001 rr 1.TIFF,0.5,0.5,1,0.5,x
261,20200604mouse9_OD_L_2_0_0000046_Structure_0001 rr 1.TIFF,0.5,0.5,0.5,0.5,x
262,20200624mouse1_OD_L_2_0_0000086_Structure_0001 RR28.TIFF,0.5,0.5,1,0.5,x
263,20200624mouse1_OD_L_2_0_0000116_Structure_0001 rr35.TIFF,0.5,0.5,1,0.5,x
264,20200624mouse1_OD_L_2_0_0000126_Structure_0001 RR42.TIFF,0.5,0.5,1,0.5,x
265,20200624mouse1_OD_L_2_0_0000146_Structure_0001 RR49.TIFF,0.5,0.5,0.5,0.5,x
266,20200624mouse10_OD_L_2_0_0000036_Structure_0001 rr7.TIFF,0.5,0.5,0.5,1,x
267,20200624mouse10_OD_L_2_0_0000090_Structure_0001 RR28.TIFF,0.5,0.5,0.5,0.5,x
268,20200624mouse10_OD_L_2_0_0000100_Structure_0001 rr35.TIFF,0.5,0.5,0.5,0.5,x
269,20200624mouse10_OD_L_2_0_0000130_Structure_0001 RR42.TIFF,0.5,0.5,0.5,0.5,x
270,20200624mouse10_OD_L_2_0_0000150_Structure_0001 RR49.TIFF,0.5,0.5,0.5,0.5,x
