Ordering,Experiment Name,Day of Experiment,TIFF Name,Link to Image,KP score,LW score,KC score,XP score,# of Graders Scored,4/4 Graders Agree?,3/4 graders agree,2/4 graders agree,50/50 Split,T/F if na of 50/50 Split,Final Score,Mode
12,Alt Prime Rd. 1,1,20220505mouse2_OD_R_2_0_0000009_Structure_0004,https://drive.google.com/file/d/1VS4YBP8KdMlY0qj8HFn4Xna0xnQI0R3y/view?usp=drive_link,1,,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
13,Alt Prime Rd. 1,1,20220505mouse2_OD_R_4_0_0000002_Structure_0001,https://drive.google.com/file/d/1yZKIFNu1jW6bE0G39dtjcNpMuRffYG1A/view?usp=sharing,0.5,0,0.5,0.5,4,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
14,Alt Prime Rd. 1,1,20220505mouse2_OD_R_4_0_0000002_Structure_0002,https://drive.google.com/file/d/1xpltJOeFc5d-wI86cZFAHn4_XqTl2tdK/view?usp=drive_link,1,1,1,,3,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
15,Alt Prime Rd. 1,1,20220505mouse2_OD_R_4_0_0000002_Structure_0003,https://drive.google.com/file/d/1zdeadoelUN17JRsqFP3WcgzPbPA-AOnJ/view?usp=sharing,1,1,1,1,4,TRUE,TRUE,TRUE,FALSE,FALSE,1,1
16,Alt Prime Rd. 1,1,20220505mouse2_OD_R_4_0_0000002_Structure_0004,https://drive.google.com/file/d/1SKyPcx3GJzBANF7XPkkzidkibfsCks1W/view?usp=drive_link,1,,1,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,1,1
17,Alt Prime Rd. 1,1,20220505mouse3_OD_R_2_0_0000002_Structure_0001,https://drive.google.com/file/d/1xTQrAM-b-r4NccJ0sNKKjPfbl3oSPM-N/view?usp=sharing,2,2,1,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
18,Alt Prime Rd. 1,1,20220505mouse3_OD_R_2_0_0000002_Structure_0002,https://drive.google.com/file/d/1PiFtlbmr6yUVjL6qOP18Kmi6ce-Z_z4Y/view?usp=drive_link,4,,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
19,Alt Prime Rd. 1,1,20220505mouse3_OD_R_2_0_0000002_Structure_0003,https://drive.google.com/file/d/1iXrzQfODwMyqlmgL_I7lga8mbWs9L_d0/view?usp=sharing,2,2,1,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
20,Alt Prime Rd. 1,1,20220505mouse3_OD_R_2_0_0000002_Structure_0004,https://drive.google.com/file/d/1-SUEa-DZB3j8dbqdMaKucMKllGFa1EJD/view?usp=drive_link,3,,2,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
21,Alt Prime Rd. 1,1,20220505mouse3_OD_R_4_0_0000009_Structure_0001,https://drive.google.com/file/d/17qjPgEcJ5e3gy5gPhmQej30X-msf63_a/view?usp=sharing,2,2,2,2,4,TRUE,TRUE,TRUE,FALSE,FALSE,2,2
22,Alt Prime Rd. 1,1,20220505mouse3_OD_R_4_0_0000009_Structure_0002,https://drive.google.com/file/d/16r-t7RfkxHRA8VcOgl6n525cAgbUh5x9/view?usp=drive_link,2,,2,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
23,Alt Prime Rd. 1,1,20220505mouse3_OD_R_4_0_0000009_Structure_0003,https://drive.google.com/file/d/1raAMPnEV5Y5010X9vXV1zrJsjTsJ3gqZ/view?usp=sharing,2,2,2,2,4,TRUE,TRUE,TRUE,FALSE,FALSE,2,2
24,Alt Prime Rd. 1,1,20220505mouse3_OD_R_4_0_0000009_Structure_0004,https://drive.google.com/file/d/1gGaGeMaALafEadsBB7ASw3nJMeqYyuZg/view?usp=drive_link,2,2,0.5,,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
25,Alt Prime Rd. 1,1,20220505mouse4_OD_R_2_0_0000009_Structure_0001,https://drive.google.com/file/d/1P56qzOyJXvtnb-RIhmIHnmCYf8yZdgyQ/view?usp=sharing,0.5,0.5,0.5,0.5,4,TRUE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
26,Alt Prime Rd. 1,1,20220505mouse4_OD_R_2_0_0000009_Structure_0002,https://drive.google.com/file/d/1MJBCK8iS0Iyqsfg7oiI3yAEkwlGHARur/view?usp=drive_link,0.5,,0.5,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
27,Alt Prime Rd. 1,1,20220505mouse4_OD_R_2_0_0000009_Structure_0003,https://drive.google.com/file/d/1cONLD-kqJLlZw_tp_yMt6hcis2lPilO3/view?usp=sharing,0.5,1,0.5,0.5,4,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
28,Alt Prime Rd. 1,1,20220505mouse4_OD_R_2_0_0000009_Structure_0004,https://drive.google.com/file/d/1Dm2MybyuwzVyzW3gtJhbtwvsdPdwyEO8/view?usp=drive_link,0.5,0.5,0.5,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
29,Alt Prime Rd. 1,1,20220505mouse4_OD_R_4_0_0000002_Structure_0001,https://drive.google.com/file/d/1NBa14fqiKm74YTxYugCidmiQblCmQSrn/view?usp=sharing,1,1,2,1,4,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
30,Alt Prime Rd. 1,1,20220505mouse4_OD_R_4_0_0000002_Structure_0002,https://drive.google.com/file/d/1gs5T1vAiQ2wlBQaCRI0Bi-RUmZXTNKrf/view?usp=sharing,2,,2,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
31,Alt Prime Rd. 1,1,20220505mouse4_OD_R_4_0_0000002_Structure_0003,https://drive.google.com/file/d/1QZvxNDBSGquzVytQVLYHsWCX_yg3CBmH/view?usp=sharing,2,2,3,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
32,Alt Prime Rd. 1,1,20220505mouse4_OD_R_4_0_0000002_Structure_0004,https://drive.google.com/file/d/1PwXC271yZP_Gr5QLJgGjX7U8kFrvStMF/view?usp=sharing,2,2,2,,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
33,Alt Prime Rd. 1,1,20220505mouse5_OD_R_2_0_0000002_Structure_0001,https://drive.google.com/file/d/1faM5TBGGOymHJ2krVkMwj0-4hcMG7xPZ/view?usp=sharing,1,1,0.5,1,4,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
34,Alt Prime Rd. 1,1,20220505mouse5_OD_R_2_0_0000002_Structure_0002,https://drive.google.com/file/d/11tWjKdLMWE0uB9_Z7lZA2jjgzhhBg9lt/view?usp=sharing,100,0.5,0.5,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
35,Alt Prime Rd. 1,1,20220505mouse5_OD_R_2_0_0000002_Structure_0003,https://drive.google.com/file/d/1tzli1BePGMAtDZKUrRc1wDNjrvVJ9-IY/view?usp=sharing,1,0.5,0.5,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,1
36,Alt Prime Rd. 1,1,20220505mouse5_OD_R_2_0_0000002_Structure_0004,https://drive.google.com/file/d/1DhHk_GEzzhbb1PeEd4YklDXjE8LBMAg3/view?usp=sharing,100,,100,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,100,100
37,Alt Prime Rd. 1,1,20220505mouse5_OD_R_4_0_0000009_Structure_0001,https://drive.google.com/file/d/1IqHg4-K-HFw_eHqbhcv_r7pqJAq18KpF/view?usp=sharing,2,3,3,3,4,FALSE,TRUE,TRUE,FALSE,FALSE,3,3
38,Alt Prime Rd. 1,1,20220505mouse5_OD_R_4_0_0000009_Structure_0002,https://drive.google.com/file/d/1wnEKnkopKHmO3uSZZ7osMFa1D3tyo5ae/view?usp=sharing,3,4,4,,3,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
39,Alt Prime Rd. 1,1,20220505mouse5_OD_R_4_0_0000009_Structure_0003,https://drive.google.com/file/d/1tO8qH6QbOsOvCGZmyDQ6LaTJ6weEH-nE/view?usp=sharing,3,4,3,4,4,FALSE,FALSE,TRUE,TRUE,FALSE,3,3
40,Alt Prime Rd. 1,1,20220505mouse5_OD_R_4_0_0000009_Structure_0004,https://drive.google.com/file/d/1CC_vDjSWcBhrO97QqeNG8qAlFAeWPhe4/view?usp=sharing,4,,4,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,4,4
41,Alt Prime Rd. 1,1,20220505mouse6_OD_R_2_0_0000009_Structure_0001,https://drive.google.com/file/d/1c5AP6Dj40BOKje3Kyn5tyVkDjlu6MEt0/view?usp=sharing,1,0.5,0.5,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,1
42,Alt Prime Rd. 1,1,20220505mouse6_OD_R_2_0_0000009_Structure_0002,https://drive.google.com/file/d/1ojZtYukiXRknT1TR15FJAYLpzi4i7A6Z/view?usp=sharing,100,0.5,0.5,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
43,Alt Prime Rd. 1,1,20220505mouse6_OD_R_2_0_0000009_Structure_0003,https://drive.google.com/file/d/1B_KPsTdFnELXhHFqZ61CRaZQFHZCMbO8/view?usp=sharing,1,0.5,0.5,0.5,4,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
44,Alt Prime Rd. 1,1,20220505mouse6_OD_R_2_0_0000009_Structure_0004,https://drive.google.com/file/d/1aVYHwZHPwPD7l2Gfkbx3zFtvVvg157k3/view?usp=sharing,100,,0.5,100,3,FALSE,FALSE,TRUE,FALSE,FALSE,100,100
45,Alt Prime Rd. 1,1,20220505mouse6_OD_R_4_0_0000002_Structure_0001,https://drive.google.com/file/d/17QMn2-njV4DLuX7DCEFW091dXRh5ZbAD/view?usp=sharing,2,2,2,2,4,TRUE,TRUE,TRUE,FALSE,FALSE,2,2
46,Alt Prime Rd. 1,1,20220505mouse6_OD_R_4_0_0000002_Structure_0002,https://drive.google.com/file/d/1fDzYLn7DK6n0FjZEcwFY4SdgbOVaqr3w/view?usp=sharing,3,,4,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
47,Alt Prime Rd. 1,1,20220505mouse6_OD_R_4_0_0000002_Structure_0003,https://drive.google.com/file/d/13SFBNVMirzG1EzJv0lmwsBBShdHg0vy4/view?usp=sharing,2,2,2,2,4,TRUE,TRUE,TRUE,FALSE,FALSE,2,2
48,Alt Prime Rd. 1,1,20220505mouse6_OD_R_4_0_0000002_Structure_0004,https://drive.google.com/file/d/19Lbmp96cXZdmlp9Hvdq8nJTXMDjONLTk/view?usp=sharing,3,,3,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,3,3
49,Alt Prime Rd. 1,1,20220505mouse7_OD_R_2_0_0000002_Structure_0001,https://drive.google.com/file/d/18prLJc7yp2syUQWDPDTMuns99kpOKphT/view?usp=sharing,1,0.5,1,1,4,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
50,Alt Prime Rd. 1,1,20220505mouse7_OD_R_2_0_0000002_Structure_0002,https://drive.google.com/file/d/1LixBJvhuH38Hq_saCAgNrA9rm2I2UCjB/view?usp=sharing,1,1,1,,3,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
51,Alt Prime Rd. 1,1,20220505mouse7_OD_R_2_0_0000002_Structure_0003,https://drive.google.com/file/d/12W8xssg55wfFpIePTMNekjoRYX-BDEbE/view?usp=sharing,1,1,1,1,4,TRUE,TRUE,TRUE,FALSE,FALSE,1,1
52,Alt Prime Rd. 1,1,20220505mouse7_OD_R_2_0_0000002_Structure_0004,https://drive.google.com/file/d/1CywdHZcJXuzxY1u-hOd1mCQpxn6WmbBY/view?usp=sharing,0.5,0.5,0.5,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
53,Alt Prime Rd. 1,1,20220505mouse7_OD_R_4_0_0000009_Structure_0001,https://drive.google.com/file/d/13OCWsSixMBz2qOkvTQRFvyCPgKdwKJF6/view?usp=sharing,0.5,0.5,0.5,0.5,4,TRUE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
54,Alt Prime Rd. 1,1,20220505mouse7_OD_R_4_0_0000009_Structure_0002,https://drive.google.com/file/d/1G8GZqivAglHHUV_HkyOGQCZNwWoWjzDL/view?usp=sharing,2,,0.5,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
55,Alt Prime Rd. 1,1,20220505mouse7_OD_R_4_0_0000009_Structure_0003,https://drive.google.com/file/d/19ufKLojAR-458KGvXpusOKCZJcNRNTvQ/view?usp=sharing,0,0.5,0.5,0.5,4,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
56,Alt Prime Rd. 1,1,20220505mouse7_OD_R_4_0_0000009_Structure_0004,https://drive.google.com/file/d/15y-jTR-7wKlTcPe9buUx2M5xmU59EY0-/view?usp=sharing,0.5,0.5,0,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
57,Alt Prime Rd. 1,1,20220505mouse8_OD_R_2_0_0000009_Structure_0001,https://drive.google.com/file/d/1QeFIHug6GTx-tFX4K3s_lp9IgSjymROS/view?usp=sharing,4,4,3,4,4,FALSE,TRUE,TRUE,FALSE,FALSE,4,4
58,Alt Prime Rd. 1,1,20220505mouse8_OD_R_2_0_0000009_Structure_0002,https://drive.google.com/file/d/1cPvC6k3h7YUo7t4nLFi0jPxFKwGKDS6h/view?usp=sharing,4,4,4,,3,FALSE,TRUE,TRUE,FALSE,FALSE,4,4
59,Alt Prime Rd. 1,1,20220505mouse8_OD_R_2_0_0000009_Structure_0003,https://drive.google.com/file/d/1wZVLEn6e9KyGEmGEHSLoK_4jueTKjrU1/view?usp=sharing,4,4,4,4,4,TRUE,TRUE,TRUE,FALSE,FALSE,4,4
60,Alt Prime Rd. 1,1,20220505mouse8_OD_R_2_0_0000009_Structure_0004,https://drive.google.com/file/d/1vy7qr6zW0zmzk4-W9o76UiKpf7N7QEw3/view?usp=sharing,4,4,4,,3,FALSE,TRUE,TRUE,FALSE,FALSE,4,4
61,Alt Prime Rd. 1,1,20220505mouse8_OD_R_4_0_0000002_Structure_0001,https://drive.google.com/file/d/10EC5wFUhnN0QMAwdaXi5NnF9st7fVQMk/view?usp=sharing,1,1,1,1,4,TRUE,TRUE,TRUE,FALSE,FALSE,1,1
62,Alt Prime Rd. 1,1,20220505mouse8_OD_R_4_0_0000002_Structure_0002,https://drive.google.com/file/d/1NFOFkt9wZ9XteOc0oyJRUIPVaKrsXyKG/view?usp=sharing,1,1,1,,3,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
63,Alt Prime Rd. 1,1,20220505mouse8_OD_R_4_0_0000002_Structure_0003,https://drive.google.com/file/d/1yr7CUBnf0lwWJXTpBAR4FvYaIjTEelVi/view?usp=sharing,0.5,1,1,1,4,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
64,Alt Prime Rd. 1,1,20220505mouse8_OD_R_4_0_0000002_Structure_0004,https://drive.google.com/file/d/1r2KfLtK437XF8-iMvduuqevasjz6qQCd/view?usp=sharing,1,,1,1,3,FALSE,TRUE,TRUE,FALSE,FALSE,1,1
65,Alt Prime Rd. 1,1,20220505mouse10_OD_R_2_0_0000002_Structure_0001,https://drive.google.com/file/d/10kThsFPQSdsCz3Y3mAlEFWcY5FsaU4Sc/view?usp=sharing,3,3,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,3,3
66,Alt Prime Rd. 1,1,20220505mouse10_OD_R_2_0_0000002_Structure_0002,https://drive.google.com/file/d/1FMuipabtx-_VfoosDh2iqMb2I8toC4tB/view?usp=sharing,3,,3,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,3,3
67,Alt Prime Rd. 1,1,20220505mouse10_OD_R_2_0_0000002_Structure_0003,https://drive.google.com/file/d/1bN02RIOeRUexcdLr-GSHev1mk6yVJeBx/view?usp=sharing,3,3,1,3,4,FALSE,TRUE,TRUE,FALSE,FALSE,3,3
68,Alt Prime Rd. 1,1,20220505mouse10_OD_R_2_0_0000002_Structure_0004,https://drive.google.com/file/d/1hww0lZ3G9h-XmDjPrGFKbXhHEE3tg4zP/view?usp=sharing,2,,3,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
69,Alt Prime Rd. 1,1,20220505mouse10_OD_R_4_0_0000009_Structure_0001,https://drive.google.com/file/d/1mrFKWarBdMcLhVBr33ATlm3mi3kxkWZG/view?usp=sharing,0,0,0.5,0,4,FALSE,TRUE,TRUE,FALSE,FALSE,0,0
70,Alt Prime Rd. 1,1,20220505mouse10_OD_R_4_0_0000009_Structure_0002,https://drive.google.com/file/d/1FFLbdu5ujuPVI7npzV2ntdznteTR5dxy/view?usp=sharing,0,0,0,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0,0
71,Alt Prime Rd. 1,1,20220505mouse10_OD_R_4_0_0000009_Structure_0003,https://drive.google.com/file/d/1Sc-wJfsz_eTUAtgr-K-iRmKu8pVtlfmM/view?usp=sharing,0,0,0,0,4,TRUE,TRUE,TRUE,FALSE,FALSE,0,0
72,Alt Prime Rd. 1,1,20220505mouse10_OD_R_4_0_0000009_Structure_0004,https://drive.google.com/file/d/11Vgf1BW4zMHtpyGvVVc_ju2ffHnWo4BM/view?usp=sharing,0,0,0,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0,0
73,Alt Prime Rd. 1,2,20220505mouse1_OD_R_2_0_0000002_Structure_0001,https://drive.google.com/file/d/10IvJRRKi3ynlcOBI5Lve3VzTsVaXpCqi/view?usp=sharing,2,2,1,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
74,Alt Prime Rd. 1,2,20220505mouse1_OD_R_2_0_0000002_Structure_0004,https://drive.google.com/file/d/1JQFzcoxG5u9B-cr9oXmw1SiOHu7RyI0P/view?usp=sharing,3,3,4,3,4,FALSE,TRUE,TRUE,FALSE,FALSE,3,3
75,Alt Prime Rd. 1,2,20220505mouse1_OD_R_4_0_0000012_Structure_0001,https://drive.google.com/file/d/1mh5xFSu1h5Hv2RgIPd0EZUjP6U0giEd7/view?usp=sharing,0.5,0.5,0,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
76,Alt Prime Rd. 1,2,20220505mouse1_OD_R_4_0_0000012_Structure_0004,https://drive.google.com/file/d/1GA8hp9H-5nhGuRAC8AQ2YA1kqeYjHCF2/view?usp=sharing,2,1,2,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
77,Alt Prime Rd. 1,2,20220505mouse2_OD_R_2_0_0000026_Structure_0001,https://drive.google.com/file/d/1Ie6Sr2WLiPfXLLYckzZRPWL9twi1XSwG/view?usp=sharing,1,2,1,2,4,FALSE,FALSE,TRUE,TRUE,FALSE,1,1
78,Alt Prime Rd. 1,2,20220505mouse2_OD_R_2_0_0000026_Structure_0004,https://drive.google.com/file/d/1Mntywa3hqmik8miCPGM6WVZIOgAo8aqk/view?usp=sharing,2,2,2,,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
79,Alt Prime Rd. 1,2,20220505mouse2_OD_R_4_0_0000016_Structure_0001,https://drive.google.com/file/d/1NB9nq8WDlFlzXPKKT_4RZ4amlDgn05W2/view?usp=sharing,0,0.5,0,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0,0
80,Alt Prime Rd. 1,2,20220505mouse2_OD_R_4_0_0000016_Structure_0004,https://drive.google.com/file/d/1XwyLlFnBKHBZaIqf0yVCOJhPiGZaIwQp/view?usp=sharing,0.5,0.5,0.5,,3,FALSE,TRUE,TRUE,FALSE,FALSE,0.5,0.5
81,Alt Prime Rd. 1,2,20220505mouse3_OD_R_2_0_0000026_Structure_0001,https://drive.google.com/file/d/1bOjPUuNgELHgmjRZBQdv8yoLi_d8cGPd/view?usp=sharing,100,100,100,100,4,TRUE,TRUE,TRUE,FALSE,FALSE,100,100
82,Alt Prime Rd. 1,2,20220505mouse3_OD_R_2_0_0000026_Structure_0004,https://drive.google.com/file/d/1aQ7R7iuSaeZmAAiNL_hcsp6xQgokdF-J/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
83,Alt Prime Rd. 1,2,20220505mouse3_OD_R_4_0_0000016_Structure_0001,https://drive.google.com/file/d/1XBWiU_NRhmPloqXKBHwWE-DxjTVIIXW9/view?usp=sharing,2,2,0.5,,3,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
84,Alt Prime Rd. 1,2,20220505mouse3_OD_R_4_0_0000016_Structure_0004,https://drive.google.com/file/d/1n-M1nFcIc7yQyVV29aSQ0zASsluVXIBn/view?usp=sharing,2,2,2,,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
85,Alt Prime Rd. 1,2,20220505mouse3_OD_R_4_0_0000016_Structure_0001,https://drive.google.com/file/d/1XBWiU_NRhmPloqXKBHwWE-DxjTVIIXW9/view?usp=sharing,0.5,2,0.5,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
86,Alt Prime Rd. 1,2,20220505mouse3_OD_R_4_0_0000016_Structure_0004,https://drive.google.com/file/d/1n-M1nFcIc7yQyVV29aSQ0zASsluVXIBn/view?usp=sharing,2,2,2,,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
87,Alt Prime Rd. 1,2,20220505mouse4_OD_R_2_0_0000016_Structure_0001,https://drive.google.com/file/d/1uMzj51JoNDwmOmm69tDXcWXV2mAHVnWr/view?usp=sharing,0.5,0.5,100,,3,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,0.5
88,Alt Prime Rd. 1,2,20220505mouse4_OD_R_2_0_0000016_Structure_0004,https://drive.google.com/file/d/1erb9BcxBV_Au-9qnYk7g4xcwVqlf7Fy6/view?usp=sharing,100,1,1,100,4,FALSE,FALSE,TRUE,TRUE,TRUE,100,100
89,Alt Prime Rd. 1,2,20220505mouse4_OD_R_4_0_0000026_Structure_0001,https://drive.google.com/file/d/1KqpfKSWm2FE5mDVRAkAn-qXBtY5yGC9j/view?usp=sharing,100,0.5,100,0.5,4,FALSE,FALSE,TRUE,TRUE,TRUE,100,100
90,Alt Prime Rd. 1,2,20220505mouse4_OD_R_4_0_0000026_Structure_0004,https://drive.google.com/file/d/1WeHax89bxh3x6Q30h5f7N7hbOPMvVnDd/view?usp=sharing,2,2,2,,3,FALSE,TRUE,TRUE,FALSE,FALSE,2,2
91,Alt Prime Rd. 1,2,20220505mouse5_OD_R_2_0_0000026_Structure_0001,https://drive.google.com/file/d/1yDNchWcVg48eFmasVDu5x0sdGCTxjlom/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
92,Alt Prime Rd. 1,2,20220505mouse5_OD_R_2_0_0000026_Structure_0004,https://drive.google.com/file/d/1gWY2YLgMLWa1sy2L1ElKigkBpjQ37gmh/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
93,Alt Prime Rd. 1,2,20220505mouse5_OD_R_4_0_0000016_Structure_0001,https://drive.google.com/file/d/1Of4iw2GXQJLfRXhs4A_1MVEIm7jrclCZ/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
94,Alt Prime Rd. 1,2,20220505mouse5_OD_R_4_0_0000016_Structure_0004,https://drive.google.com/file/d/1lP85Wpu7gnsNajtL7gI6Wp-miP3mfio5/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
95,Alt Prime Rd. 1,2,20220505mouse6_OD_R_2_0_0000016_Structure_0001,https://drive.google.com/file/d/1W_qqCrd6Z6iKKqEusVg7qf-9oT6YTQhm/view?usp=sharing,100,100,100,,3,FALSE,TRUE,TRUE,FALSE,FALSE,100,100
96,Alt Prime Rd. 1,2,20220505mouse6_OD_R_2_0_0000016_Structure_0004,https://drive.google.com/file/d/1Bxt0avF18ZRT0R1zy0DR-yy4xJvO3-ZF/view?usp=sharing,100,100,100,100,4,TRUE,TRUE,TRUE,FALSE,FALSE,100,100
97,Alt Prime Rd. 1,2,20220505mouse6_OD_R_4_0_0000026_Structure_0001,https://drive.google.com/file/d/1b50lxtUHLlEtuXkE1JoY9G3AHGPWrXHn/view?usp=sharing,4,4,4,,3,FALSE,TRUE,TRUE,FALSE,FALSE,4,4
98,Alt Prime Rd. 1,2,20220505mouse6_OD_R_4_0_0000026_Structure_0004,https://drive.google.com/file/d/1D88G8-qfIGVvqSoIeGmw1g6hNfX7Alzw/view?usp=sharing,4,3,3,,3,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
